workclass,education,marital_status,occupation,race,sex,income_bracket
 Private, 10th, Married-civ-spouse, Handlers-cleaners, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Protective-serv, Black, Female, <=50K
 Private, 10th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Craft-repair, Other, Female, <=50K
 ?, 10th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Farming-fishing, White, Female, <=50K
 Self-emp-not-inc, 10th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 ?, 10th, Married-civ-spouse, ?, White, Female, <=50K
 ?, 10th, Married-civ-spouse, ?, White, Female, <=50K
 Self-emp-inc, 10th, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Other-service, Black, Female, <=50K
 Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, White, Female, >50K
 Private, 10th, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, >50K
 ?, 10th, Married-civ-spouse, ?, Black, Female, <=50K
 Self-emp-not-inc, 10th, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Sales, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Other-service, White, Female, <=50K
 Federal-gov, 10th, Married-civ-spouse, Other-service, Amer-Indian-Eskimo, Female, <=50K
 ?, 11th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, <=50K
 Private, 11th, Married-civ-spouse, Handlers-cleaners, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 ?, 11th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 ?, 11th, Married-civ-spouse, ?, Asian-Pac-Islander, Female, <=50K
 Self-emp-not-inc, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Prof-specialty, White, Female, >50K
 Private, 11th, Married-civ-spouse, Sales, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 ?, 11th, Married-civ-spouse, ?, Other, Female, <=50K
 Local-gov, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, Black, Female, >50K
 Self-emp-not-inc, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Sales, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Handlers-cleaners, Asian-Pac-Islander, Female, <=50K
 ?, 11th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, 11th, Married-civ-spouse, Other-service, Black, Female, >50K
 Private, 12th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Craft-repair, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, <=50K
 State-gov, 12th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Other-service, White, Female, <=50K
 State-gov, 12th, Married-civ-spouse, Tech-support, White, Female, >50K
 Self-emp-not-inc, 12th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Priv-house-serv, Other, Female, <=50K
 Self-emp-not-inc, 12th, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, <=50K
 Private, 12th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 ?, 12th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 12th, Married-civ-spouse, Adm-clerical, Black, Female, >50K
 Local-gov, 12th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 ?, 12th, Married-civ-spouse, ?, White, Female, <=50K
 ?, 12th, Married-civ-spouse, ?, Black, Female, >50K
 Private, 1st-4th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 1st-4th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 1st-4th, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female, <=50K
 Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Amer-Indian-Eskimo, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, >50K
 Private, 5th-6th, Married-civ-spouse, Craft-repair, White, Female, <=50K
 ?, 5th-6th, Married-civ-spouse, ?, Other, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Farming-fishing, White, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Priv-house-serv, Black, Female, <=50K
 ?, 5th-6th, Married-civ-spouse, ?, White, Female, <=50K
 ?, 5th-6th, Married-civ-spouse, ?, White, Female, <=50K
 ?, 5th-6th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, >50K
 Private, 5th-6th, Married-civ-spouse, Sales, White, Female, <=50K
 Self-emp-not-inc, 5th-6th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 Private, 7th-8th, Married-civ-spouse, Prof-specialty, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Other, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Self-emp-not-inc, 7th-8th, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 ?, 7th-8th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 State-gov, 7th-8th, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, HS-grad, Married-AF-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Tech-support, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, >50K
 State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 State-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Black, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Black, Female, >50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, >50K
 Private, HS-grad, Married-civ-spouse, Tech-support, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Black, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Federal-gov, HS-grad, Married-AF-spouse, Sales, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 ?, HS-grad, Married-civ-spouse, ?, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Farming-fishing, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Priv-house-serv, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Black, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Transport-moving, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Farming-fishing, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, Black, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Prof-specialty, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 State-gov, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Tech-support, White, Female, <=50K
 State-gov, HS-grad, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, >50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Female, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, <=50K
